:START_ID,:END_ID,:TYPE
C001,I001,STORED_AS
C002,I002,STORED_AS
C003,I003,STORED_AS
C004,I004,STORED_AS
C005,I005,STORED_AS
C006,I006,STORED_AS
C007,I007,STORED_AS
C008,I008,STORED_AS
C009,I009,STORED_AS
C010,I010,STORED_AS
C011,I011,STORED_AS
C012,I012,STORED_AS
C013,I013,STORED_AS
C014,I014,STORED_AS
C015,I015,STORED_AS
C016,I016,STORED_AS
C017,I017,STORED_AS
C018,I018,STORED_AS
C019,I019,STORED_AS
C020,I020,STORED_AS
C021,I021,STORED_AS
C022,I022,STORED_AS
C023,I023,STORED_AS
C024,I024,STORED_AS
C025,I025,STORED_AS
C026,I026,STORED_AS
C027,I027,STORED_AS
C028,I028,STORED_AS
C029,I029,STORED_AS
C030,I030,STORED_AS
C031,I031,STORED_AS
C032,I032,STORED_AS
C033,I033,STORED_AS
C034,I034,STORED_AS
C035,I035,STORED_AS
C036,I036,STORED_AS
C037,I037,STORED_AS
C038,I038,STORED_AS
C039,I039,STORED_AS
C040,I040,STORED_AS
C041,I041,STORED_AS
C042,I042,STORED_AS
C043,I043,STORED_AS
C044,I044,STORED_AS
C045,I045,STORED_AS
C046,I046,STORED_AS
C047,I047,STORED_AS
C048,I048,STORED_AS
C049,I049,STORED_AS
C050,I050,STORED_AS
