:START_ID,:END_ID,:TYPE
D001,O001,HAS_ORDER
D002,O002,HAS_ORDER
D003,O003,HAS_ORDER
D004,O004,HAS_ORDER
D005,O005,HAS_ORDER
D006,O006,HAS_ORDER
D007,O007,HAS_ORDER
D008,O008,HAS_ORDER
D009,O009,HAS_ORDER
D010,O010,HAS_ORDER
D011,O011,HAS_ORDER
D012,O012,HAS_ORDER
D013,O013,HAS_ORDER
D014,O014,HAS_ORDER
D015,O015,HAS_ORDER
D016,O016,HAS_ORDER
D017,O017,HAS_ORDER
D018,O018,HAS_ORDER
D019,O019,HAS_ORDER
D020,O020,HAS_ORDER
D021,O021,HAS_ORDER
D022,O022,HAS_ORDER
D023,O023,HAS_ORDER
D024,O024,HAS_ORDER
D025,O025,HAS_ORDER
D026,O026,HAS_ORDER
D027,O027,HAS_ORDER
D028,O028,HAS_ORDER
D029,O029,HAS_ORDER
D030,O030,HAS_ORDER
D031,O031,HAS_ORDER
D032,O032,HAS_ORDER
D033,O033,HAS_ORDER
D034,O034,HAS_ORDER
D035,O035,HAS_ORDER
D036,O036,HAS_ORDER
D037,O037,HAS_ORDER
D038,O038,HAS_ORDER
D039,O039,HAS_ORDER
D040,O040,HAS_ORDER
D041,O041,HAS_ORDER
D042,O042,HAS_ORDER
D043,O043,HAS_ORDER
D044,O044,HAS_ORDER
D045,O045,HAS_ORDER
D046,O046,HAS_ORDER
D047,O047,HAS_ORDER
D048,O048,HAS_ORDER
D049,O049,HAS_ORDER
D050,O050,HAS_ORDER
